question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
"In the sentence ""The river is flowing quickly after the rain,"" what tense is used?",Present simple,Present continuous,Present perfect,Past continuous,B,Hard,English,Prep 1,5
Which question asks about environmental concerns?,When did you visit the forest?,Where is the nearest park?,Why are the polar ice caps melting?,How much did your hiking boots cost?,C,Hard,English,Prep 1,5
"Complete the sentence: ""By the time we reached the mountain top, the sun ___.""",set,sets,had set,has set,C,Hard,English,Prep 1,5
Which sentence shows the correct use of nature vocabulary?,I did bird watching last weekend.,I made bird watching last weekend.,I took bird watching last weekend.,I created bird watching last weekend.,A,Hard,English,Prep 1,5
"What is the correct negative form of ""There are trees in the park""?",There aren't trees in the park.,There haven't trees in the park.,There don't have trees in the park.,There not trees in the park.,A,Medium,English,Prep 1,5
Which sentence uses the correct phrasal verb related to nature?,The sun comes up at 6 AM.,The sun comes in at 6 AM.,The sun comes on at 6 AM.,The sun comes with at 6 AM.,A,Medium,English,Prep 1,5
"Complete the sentence: ""I enjoy ___ in natural settings.""",walk,walking,to walking,walked,B,Medium,English,Prep 1,5
Which word is NOT related to weather?,Sunny,Cloudy,Windy,Tasty,D,Easy,English,Prep 1,5
Which sentence uses the correct weather term?,It's raining cats and dogs.,It's raining cats and cat.,It's raining dog and dogs.,It's raining cat and dog.,A,Medium,English,Prep 1,5
"Complete the sentence: ""Remember ___ water when hiking.""",bring,to bring,bringing,brings,B,Easy,English,Prep 1,5
Which is the correct question form?,How often you go to the beach?,How often do you go to the beach?,How often does you go to the beach?,How often are you go to the beach?,B,Medium,English,Prep 1,5
"What does ""biodiversity"" mean?",Different types of weather,The study of human life,The variety of plant and animal life in a particular habitat,A type of environmental pollution,C,Easy,English,Prep 1,5
Which sentence uses the correct form of the superlative adjective?,Mount Everest is the most highest mountain in the world.,Mount Everest is the more high mountain in the world.,Mount Everest is the highest mountain in the world.,Mount Everest is highest mountain in the world.,C,Medium,English,Prep 1,5
"Complete the sentence: ""I'm ___ of spiders.""",afraid,scary,frightening,feared,A,Hard,English,Prep 1,5
Which is NOT a season of the year?,Spring,Summer,Autumn/Fall,Monsoon,D,Easy,English,Prep 1,5
"What is the meaning of the phrase ""carbon footprint""?",A footprint made with carbon paper,The mark left by shoes on carbon surfaces,The amount of carbon dioxide released into the atmosphere by a person's activities,A type of shoe design,C,Hard,English,Prep 1,5
Which sentence is grammatically correct?,There is many animals in the zoo.,There are many animals in the zoo.,There have many animals in the zoo.,There exists many animals in the zoo.,B,Medium,English,Prep 1,5
"Complete the sentence: ""___ it usually snow in winter where you live?""",Do,Does,Are,Is,A,Easy,English,Prep 1,5
"What does ""endangered species"" mean?",Animals that are dangerous to humans,Plants and animals in danger of extinction,Species that live in dangerous environments,Animals that cause danger to the environment,B,Medium,English,Prep 1,5
What is the correct way to ask about someone's preference for outdoor activities?,Do you prefer hiking or swimming?,You prefer hiking or swimming?,Do you preferring hiking or swimming?,Are you prefer hiking or swimming?,A,Medium,English,Prep 1,5
What is a common meal eaten in the morning?,Dinner,Lunch,Breakfast,Snack,C,Easy,English,Prep 1,6
Which word describes food that is good for your body?,Unhealthy,Junk,Healthy,Sweet,C,Easy,English,Prep 1,6
"Complete the sentence: ""I usually ___ fruit for dessert.""",eat,eats,eating,ate,A,Easy,English,Prep 1,6
What do you use to cut food?,Spoon,Fork,Knife,Plate,C,Easy,English,Prep 1,6
Which phrase describes preparing food?,Eating out,Cooking,Washing dishes,Setting the table,B,Easy,English,Prep 1,6
"What is a ""recipe""?",A list of ingredients and instructions for cooking,A menu in a restaurant,A type of food,A kitchen appliance,A,Easy,English,Prep 1,6
"Complete the sentence: ""My mother ___ delicious cakes.""",bake,bakes,baking,baked,B,Easy,English,Prep 1,6
Which food is typically considered a vegetable?,Apple,Banana,Carrot,Orange,C,Easy,English,Prep 1,6
"What is a ""menu""?",A list of food available at a restaurant,A shopping list,A recipe book,A type of drink,A,Easy,English,Prep 1,6
"Which phrase means ""to eat at a restaurant""?",Eat in,Eat out,Eat up,Eat over,B,Easy,English,Prep 1,6
"In the sentence ""This soup tastes delicious,"" what does ""delicious"" mean?",Bad tasting,Very tasty,Salty,Sour,B,Medium,English,Prep 1,6
Which sentence uses the present simple tense to describe eating habits?,I am eating pizza now.,I eat vegetables every day.,I ate pasta yesterday.,I will eat salad tomorrow.,B,Medium,English,Prep 1,6
"Complete the sentence: ""We ___ dinner together as a family.""",have,has,having,had,A,Medium,English,Prep 1,6
Which sentence contains an error related to food vocabulary?,I like to drink orange juice.,She eats many fruit every day.,He prefers chicken to fish.,We had rice for dinner.,B,Medium,English,Prep 1,6
What is the correct question to ask about someone's favorite food?,What is your favorite food?,What your favorite food is?,What favorite food you have?,What are your favorite food?,A,Medium,English,Prep 1,6
Which sentence describes a cooking action correctly?,I am chopping vegetables now.,I chopped vegetables yesterday.,I chop vegetables for dinner sometimes.,I will chop vegetables later.,C,Medium,English,Prep 1,6
"Complete the dialogue: ""Do you like spicy food?"" ""No, I ___.""",don't,doesn't,am not,haven't,A,Medium,English,Prep 1,6
Which is NOT a common type of cuisine?,Italian,Chinese,Mexican,Bookish,D,Medium,English,Prep 1,6
"In the sentence ""I've been trying this new recipe,"" what tense is used?",Present simple,Present continuous,Present perfect,Present perfect continuous,D,Hard,English,Prep 1,6
Which sentence uses countable and uncountable nouns correctly?,I need some informations about healthy food.,I need some information about healthy food.,I need an information about healthy food.,I need informations about healthy food.,B,Hard,English,Prep 1,6
"Complete the sentence with the correct form: ""While the pasta ___ (cook), I ___ (make) the sauce.""",cooked / made,was cooking / was making,cooked / was making,was cooking / made,B,Hard,English,Prep 1,6
Which sentence uses the correct preposition with food vocabulary?,I'm allergic to nuts.,I'm allergic on nuts.,I'm allergic at nuts.,I'm allergic with nuts.,A,Hard,English,Prep 1,6
"What is the difference between ""vegetarian"" and ""vegan""?","Vegetarians don't eat meat, vegans don't eat any animal products (meat, dairy, eggs)","Vegetarians eat fish, vegans don't","Vegetarians eat eggs, vegans don't",There is no difference,A,Hard,English,Prep 1,6
Which sentence uses the present perfect tense correctly to talk about food experiences?,I have eaten sushi yesterday.,I have never eaten sushi before.,I ate sushi already.,I have eat sushi now.,B,Hard,English,Prep 1,6
"In the sentence ""The chef is preparing the meal,"" what tense is used?",Present simple,Present continuous,Present perfect,Past continuous,B,Hard,English,Prep 1,6
Which question asks about dietary restrictions?,When do you eat dinner?,Where do you buy groceries?,Are you allergic to anything?,How much does this cake cost?,C,Hard,English,Prep 1,6
"Complete the sentence: ""By the time the guests arrived, we ___ the table.""",set,were setting,had set,have set,C,Hard,English,Prep 1,6
Which sentence shows the correct use of food vocabulary?,I made a reservation at the restaurant.,I did a reservation at the restaurant.,I took a reservation at the restaurant.,I created a reservation at the restaurant.,A,Hard,English,Prep 1,6
"What is the correct negative form of ""She likes vegetables""?",She don't like vegetables.,She doesn't likes vegetables.,She doesn't like vegetables.,She no like vegetables.,C,Medium,English,Prep 1,6
Which sentence uses the correct quantity expression?,I ate too many cake.,I ate too much cake.,I ate too much cakes.,I ate too many cakes.,B,Medium,English,Prep 1,6
"Complete the sentence: ""Would you like ___ tea?""",any,some,a,many,B,Medium,English,Prep 1,6
Which word is NOT related to taste?,Sweet,Sour,Salty,Loud,D,Easy,English,Prep 1,6
"Complete the sentence: ""I'm trying ___ less sugar.""",eat,to eat,eating,eats,B,Easy,English,Prep 1,6
Which is the correct question form?,How much water you drink daily?,How much water do you drink daily?,How much water does you drink daily?,How much water are you drink daily?,B,Medium,English,Prep 1,6
"What does ""organic food"" mean?",Food grown without artificial chemicals,Food that is very cheap,Food that is imported,Food that is cooked quickly,A,Easy,English,Prep 1,6
Which sentence uses the correct form of the adjective?,This apple is more red than that one.,This apple is redder than that one.,This apple is the reddest than that one.,This apple is most red than that one.,B,Medium,English,Prep 1,6
"Complete the sentence: ""I'm not very good ___ cooking.""",in,on,at,with,C,Hard,English,Prep 1,6
Which is NOT a type of drink?,Water,Juice,Milk,Bread,D,Easy,English,Prep 1,6
"What is the meaning of the phrase ""food for thought""?",Food that makes you think,Food that is easy to digest,Food that is very expensive,Food served cold,A,Hard,English,Prep 1,6
Which sentence is grammatically correct?,There isn't many milk left.,There isn't much milk left.,There aren't much milk left.,There aren't many milk left.,B,Medium,English,Prep 1,6
"Complete the sentence: ""___ you ever tried Thai food?""",Do,Did,Are,Have,D,Easy,English,Prep 1,6
"What does ""balanced diet"" mean?",Eating only one type of food,Eating the right amounts of different types of food for health,Eating very large meals,Eating only fruits,B,Medium,English,Prep 1,6
What is the correct way to ask about ingredients?,What is in this dish?,What are in this dish?,What does in this dish?,What have in this dish?,A,Medium,English,Prep 1,6
